edgeID,startNode,endNode
LHALL00102_LDEPT00502,LHALL00102,LDEPT00502
LHALL00102_LHALL02202,LHALL00102,LHALL02202
LHALL00202_LHALL00102,LHALL00202,LHALL00102
LHALL00202_LDEPT00102,LHALL00202,LDEPT00102
LHALL00302_LHALL00202,LHALL00302,LHALL00202
LHALL00402_LHALL00302,LHALL00402,LHALL00302
LHALL00502_LHALL00402,LHALL00502,LHALL00402
LHALL00502_LDEPT00202,LHALL00502,LDEPT00202
LHALL00602_LHALL00502,LHALL00602,LHALL00502
LHALL00702_LHALL00602,LHALL00702,LHALL00602
LHALL00702_LELEV00Y02,LHALL00702,LELEV00Y02
LHALL00802_LDEPT00802,LHALL00802,LDEPT00802
LHALL00802_LHALL00702,LHALL00802,LHALL00702
LHALL00902_LDEPT00902,LHALL00902,LDEPT00902
LHALL00902_LHALL00802,LHALL00902,LHALL00802
LHALL01102_LHALL01002,LHALL01102,LHALL01002
LHALL01102_LDEPT00302,LHALL01102,LDEPT00302
LHALL01202_LHALL01102,LHALL01202,LHALL01102
LHALL01302_LDEPT00602,LHALL01302,LDEPT00602
LHALL01302_LHALL01202,LHALL01302,LHALL01202
LHALL01402_LHALL01302,LHALL01402,LHALL01302
LHALL01502_LHALL01402,LHALL01502,LHALL01402
NHALL03504_NSTAI00704,NHALL03504,NSTAI00704
NHALL00104_NCONF00104,NHALL00104,NCONF00104
NHALL00204_NHALL00104,NHALL00204,NHALL00104
NHALL00204_NSTAI00104,NHALL00204,NSTAI00104
NHALL00304_NHALL00204,NHALL00304,NHALL00204
NHALL00304_NDEPT00104,NHALL00304,NDEPT00104
NHALL00404_NHALL00304,NHALL00404,NHALL00304
NHALL00504_NHALL00404,NHALL00504,NHALL00404
NHALL00604_NHALL00504,NHALL00604,NHALL00504
NHALL00604_NSERV01504,NHALL00604,NSERV01504
NHALL00704_NHALL00604,NHALL00704,NHALL00604
NHALL00704_NELEV00Z04,NHALL00704,NELEV00Z04
NHALL00704_NELEV00Y04,NHALL00704,NELEV00Y04
NHALL00804_NHALL00704,NHALL00804,NHALL00704
NHALL00904_NSERV00404,NHALL00904,NSERV00404
NHALL02304_NHALL00604,NHALL02304,NHALL00604
NHALL02404_NDEPT01304,NHALL02404,NDEPT01304
NHALL02404_NDEPT01404,NHALL02404,NDEPT01404
NHALL02404_NHALL02304,NHALL02404,NHALL02304
NHALL02504_NDEPT01504,NHALL02504,NDEPT01504
NHALL02504_NHALL02404,NHALL02504,NHALL02404
NHALL02604_NDEPT01604,NHALL02604,NDEPT01604
NHALL02604_NHALL02504,NHALL02604,NHALL02504
NHALL02604_NSTAI00404,NHALL02604,NSTAI00404
NHALL02704_NHALL02604,NHALL02704,NHALL02604
